;ORIGEM;HERE;QUANTIDADE;PINV;CONF;CONFINV
0;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;Certidão emitida;1.0;0.9702586540055314;0.9914764079147641;1.8656368047028426e-21
1;Abandono da causa;Certidão emitida;18.0;0.5807315892591316;0.016795197023507527;0.4455089699971356
2;Abandono da causa;Concluso para Despacho;2.0;0.9414018556726255;0.011170302722814138;0.584061055416666
3;Abandono da causa;Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico;2.0;0.9414018556726255;0.017255200405885338;0.4357515972225202
4;Abandono da causa;Disponibilização no Diário da Justiça Eletrônico;1.0;0.9702586540055314;0.000876035853204803;0.9587036625471004
5;Abandono da causa;Documento;1.0;0.9702586540055314;0.017250126839167934;0.4358580410984128
6;Abandono da causa;Encaminhado edital/relação para publicação;124.0;0.023662090045979297;0.01686453576864536;0.4440243234783476
7;Abandono da causa;Encerrar análise;2.0;0.9414018556726255;0.0031168611533908337;0.8606659131541083
8;Abandono da causa;Expedição de Ato Ordinatório;1.0;0.9702586540055314;0.0025942837814983935;0.8825926899390957
9;Abandono da causa;Informação;22.0;0.5146660850433273;0.0009961102655166583;0.953177858015272
10;Abandono da causa;Juntada de documento;1.0;0.9702586540055314;0.008212413326568578;0.6734416355605514
11;Abandono da causa;Petição;1.0;0.9702586540055314;0.01830373752748182;0.41430180443028397
12;Abandono da causa;Recebimento;1.0;0.9702586540055314;0.0019516319972940977;0.9103250432189189
13;Abandono da causa;Remessa;1.0;0.9702586540055314;0.0010925080331473025;0.9487647061024262
14;Abandono da causa;Remessa dos autos;3.0;0.913403297363231;0.0023118552342296633;0.8946747213846393
15;Abertura de leilão ou praça;Mandado;1.0;0.9702586540055314;0.5351598173515981;6.474570193011151e-12
16;Acolhimento de Embargos de Declaração;Certidão emitida;4.0;0.8862374538638627;0.11463528860789135;0.00401122099182779
17;Acolhimento de Embargos de Declaração;Custas Processuais Emitidas;1.0;0.9702586540055314;0.01464699683877766;0.49404861689340823
18;Acolhimento de Embargos de Declaração;Encaminhado edital/relação para publicação;15.0;0.6357888031886461;0.11622760800842992;0.003715227086913908
19;Acolhimento de Embargos de Declaração;Informação;3.0;0.913403297363231;0.0053155368223861375;0.7742229802425459
20;Acolhimento de Embargos de Declaração;Recebimento;1.0;0.9702586540055314;0.011708230886313079;0.5691301339636052
21;Acolhimento de Embargos de Declaração;Remessa;1.0;0.9702586540055314;0.005760449596066034;0.7578165713203493
22;Acolhimento de Embargos de Declaração;Remessa dos autos;1.0;0.9702586540055314;0.01422550052687039;0.5041758868486277
23;Acordo em execução ou em cumprimento de sentença;Concluso para Sentença;1.0;0.9702586540055314;0.30547945205479454;4.104170169265077e-07
24;Acordo em execução ou em cumprimento de sentença;Disponibilização no Diário da Justiça Eletrônico;1.0;0.9702586540055314;0.0517503805175038;0.08280092489831817
25;Antecipação de tutela;Custas Processuais Emitidas;1.0;0.9702586540055314;0.05357686453576865;0.07583124644411772
26;Antecipação de tutela;Despacho/decisão enviado para disponibilização no diário da justiça eletrônico;3.0;0.913403297363231;0.0370515329419439;0.16801558295247937
27;Antecipação de tutela;Documento;1.0;0.9702586540055314;0.4360513155033703;7.643811010039307e-10
28;Antecipação de tutela;Encaminhado edital/relação para publicação;1.0;0.9702586540055314;0.4314851054577082;9.523079813359561e-10
29;Antecipação de tutela;Juntada de documento;1.0;0.9702586540055314;0.20365296803652969;5.5226845771233935e-05
30;Apensado;Abandono da causa;1.0;0.9702586540055314;0.0005867461613078761;0.9721486461752396
31;Apensado;Acolhimento de Embargos de Declaração;1.0;0.9702586540055314;0.0003438458687234328;0.9835831591120151
32;Apensado;Apensado;2.0;0.9414018556726255;0.0006056734568339366;0.9712632478997009
33;Apensado;Apensamento;1.0;0.9702586540055314;0.00030914582692565516;0.9852276033597456
34;Apensado;Audiência Designada;2.0;0.9414018556726255;0.0003343822209604025;0.9840313715079685
35;Apensado;Autos Entregues em Carga ao Advogado;2.0;0.9414018556726255;0.0004511005433711091;0.9785176643885451
36;Apensado;Aviso de Recebimento (AR);2.0;0.9414018556726255;0.001539420036119589;0.9285702428568587
37;Apensado;Bloqueio/penhora on line;2.0;0.9414018556726255;0.00043532779709939197;0.9792609507412962
38;Apensado;Carta Precatória/Rogatória;1.0;0.9702586540055314;0.0004526778179982808;0.9784433667899664
39;Apensado;Certidão emitida;21.0;0.5304421485122803;0.01567968706871397;0.4700876502525889
40;Apensado;Certificação de Processo enquadrado em meta do CNJ;1.0;0.9702586540055314;0.001239737856956964;0.9420638328208045
41;Apensado;Citação/notificação;3.0;0.913403297363231;0.002430580200471605;0.8895757570213961
42;Apensado;Concluso para Decisão Interlocutória;3.0;0.913403297363231;0.0016987247734639318;0.9214761891351205
43;Apensado;Concluso para Despacho;10.0;0.7393928561842206;0.010425785285605003;0.6053745469461302
44;Apensado;Concluso para Sentença;2.0;0.9414018556726255;0.003465272355896247;0.8463504666047739
45;Apensado;Conclusão;12.0;0.6960658068829079;0.012503055969590145;0.5477644863010653
46;Apensado;Decisão Proferida;6.0;0.8343055836340231;0.0027823124423308966;0.8746396063600358
47;Apensado;Decurso de Prazo;3.0;0.913403297363231;0.0028185897587558457;0.8731134452094188
48;Apensado;Definitivo;1.0;0.9702586540055314;0.0047113193113618975;0.7970740352590183
49;Apensado;Desapensado;3.0;0.913403297363231;0.00035173224185929133;0.9832098047372922
50;Apensado;Desistência;1.0;0.9702586540055314;0.0015031427196946397;0.930193339875972
51;Apensado;Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico;4.0;0.8862374538638627;0.016110283041931846;0.46044335398500136
52;Apensado;Documento;5.0;0.8598795591152406;0.01610239666879599;0.46061819819393224
53;Apensado;Emenda da inicial;5.0;0.8598795591152406;0.0014968336211859529;0.9304759070882975
54;Apensado;Encaminhado edital/relação para publicação;15.0;0.6357888031886461;0.015921010086671242;0.464657990766529
55;Apensado;Encerrar análise;4.0;0.8862374538638627;0.0029242671587763505;0.8686828321482116
56;Apensado;Expedição de Ato Ordinatório;3.0;0.913403297363231;0.002436889298980292;0.8893056103793402
57;Apensado;Expedição de Mandado;4.0;0.8862374538638627;0.0042192096276843245;0.8161827012447508
58;Apensado;Expedição de documento;1.0;0.9702586540055314;0.0031782083737509955;0.8581278429911707
59;Apensado;Homologação de Transação;4.0;0.8862374538638627;0.001175069597242924;0.9450012320732347
60;Apensado;Liminar;3.0;0.913403297363231;0.0009006238121150465;0.9575695265535966
